sgRNA,Rank,Region,Entropy
sgRNA_100,rank04,TL,1.3058163265306122
sgRNA_100,rank04,spacer,1.3176755070202808
sgRNA_100,rank05,SL1,1.5994618834080718
sgRNA_100,rank05,SL2,2.123937823834197
sgRNA_100,rank05,SL3,1.0686597938144329
sgRNA_100,rank05,TL,1.3058163265306122
sgRNA_100,rank05,spacer,1.3176755070202808
sgRNA_100,rank06,SL1,1.5994618834080718
sgRNA_100,rank06,SL2,2.123937823834197
sgRNA_100,rank06,SL3,1.0686597938144329
sgRNA_100,rank06,TL,1.3058163265306122
sgRNA_100,rank06,spacer,1.3176755070202808
sgRNA_100,rank07,SL1,1.5994618834080718
sgRNA_100,rank07,SL2,2.123937823834197
sgRNA_100,rank07,SL3,1.0686597938144329
sgRNA_100,rank07,TL,1.3058163265306122
sgRNA_100,rank07,spacer,1.3176755070202808
sgRNA_100,rank08,SL1,1.5994618834080718
sgRNA_100,rank08,SL2,2.123937823834197
sgRNA_100,rank08,SL3,1.0686597938144329
sgRNA_100,rank08,TL,1.3058163265306122
sgRNA_100,rank08,spacer,1.3176755070202808
sgRNA_100,rank09,SL1,1.5994618834080718
sgRNA_100,rank09,SL2,2.123937823834197
sgRNA_100,rank09,SL3,1.0686597938144329
sgRNA_100,rank09,TL,1.3058163265306122
sgRNA_100,rank09,spacer,1.3176755070202808
sgRNA_100,rank10,SL1,1.5994618834080718
sgRNA_100,rank10,SL2,2.123937823834197
sgRNA_100,rank10,SL3,1.0686597938144329
sgRNA_100,rank10,TL,1.3058163265306122
sgRNA_100,rank10,spacer,1.3176755070202808
sgRNA_100,rank11,SL1,1.5994618834080718
sgRNA_100,rank11,SL2,2.123937823834197
sgRNA_100,rank11,SL3,1.0686597938144329
sgRNA_100,rank11,TL,1.3058163265306122
sgRNA_100,rank11,spacer,1.3176755070202808
sgRNA_100,rank12,SL1,1.5994618834080718
sgRNA_100,rank12,SL2,2.123937823834197
sgRNA_100,rank12,SL3,1.0686597938144329
sgRNA_100,rank12,TL,1.3058163265306122
sgRNA_100,rank12,spacer,1.3176755070202808
sgRNA_101,rank01,SL1,1.3942152466367714
sgRNA_101,rank01,SL2,1.4701554404145079
sgRNA_101,rank01,SL3,0.4639175257731959
sgRNA_101,rank01,TL,0.284234693877551
sgRNA_101,rank01,spacer,1.42202875399361
sgRNA_101,rank02,SL1,1.3942152466367714
sgRNA_101,rank02,SL2,1.4701554404145079
sgRNA_101,rank02,SL3,0.4639175257731959
sgRNA_101,rank02,TL,0.284234693877551
sgRNA_101,rank02,spacer,1.42202875399361
sgRNA_101,rank03,SL1,1.3942152466367714
sgRNA_101,rank03,SL2,1.4701554404145079
sgRNA_101,rank03,SL3,0.4639175257731959
sgRNA_101,rank03,TL,0.284234693877551
sgRNA_101,rank03,spacer,1.42202875399361
sgRNA_101,rank04,SL1,1.3942152466367714
sgRNA_101,rank04,SL2,1.4701554404145079
sgRNA_101,rank04,SL3,0.4639175257731959
sgRNA_101,rank04,TL,0.284234693877551
sgRNA_101,rank04,spacer,1.42202875399361
sgRNA_101,rank05,SL1,1.3942152466367714
sgRNA_101,rank05,SL2,1.4701554404145079
sgRNA_101,rank05,SL3,0.4639175257731959
sgRNA_101,rank05,TL,0.284234693877551
sgRNA_101,rank05,spacer,1.42202875399361
sgRNA_101,rank06,SL1,1.3942152466367714
sgRNA_101,rank06,SL2,1.4701554404145079
sgRNA_101,rank06,SL3,0.4639175257731959
sgRNA_101,rank06,TL,0.284234693877551
sgRNA_101,rank06,spacer,1.42202875399361
sgRNA_101,rank07,SL1,1.3942152466367714
sgRNA_101,rank07,SL2,1.4701554404145079
sgRNA_101,rank07,SL3,0.4639175257731959
sgRNA_101,rank07,TL,0.284234693877551
sgRNA_101,rank07,spacer,1.42202875399361
sgRNA_101,rank08,SL1,1.3942152466367714
sgRNA_101,rank08,SL2,1.4701554404145079
sgRNA_101,rank08,SL3,0.4639175257731959
sgRNA_101,rank08,TL,0.284234693877551
sgRNA_101,rank08,spacer,1.42202875399361
sgRNA_101,rank09,SL1,1.3942152466367714
sgRNA_101,rank09,SL2,1.4701554404145079
sgRNA_101,rank09,SL3,0.4639175257731959
sgRNA_101,rank09,TL,0.284234693877551
sgRNA_101,rank09,spacer,1.42202875399361
sgRNA_102,rank01,SL1,0.5735874439461883
sgRNA_102,rank01,SL2,1.2473056994818652
sgRNA_102,rank01,SL3,0.23402061855670106
sgRNA_102,rank01,TL,1.794030612244898
sgRNA_102,rank01,spacer,2.2612057877813507
sgRNA_102,rank02,SL1,0.5735874439461883
sgRNA_102,rank02,SL2,1.2473056994818652
sgRNA_102,rank02,SL3,0.23402061855670106
sgRNA_102,rank02,TL,1.794030612244898
sgRNA_102,rank02,spacer,2.2612057877813507
sgRNA_102,rank03,SL1,0.5735874439461883
sgRNA_102,rank03,SL2,1.2473056994818652
sgRNA_102,rank03,SL3,0.23402061855670106
sgRNA_102,rank03,TL,1.794030612244898
sgRNA_102,rank03,spacer,2.2612057877813507
sgRNA_102,rank04,SL1,0.5735874439461883
sgRNA_102,rank04,SL2,1.2473056994818652
sgRNA_102,rank04,SL3,0.23402061855670106
sgRNA_102,rank04,TL,1.794030612244898
sgRNA_102,rank04,spacer,2.2612057877813507
sgRNA_102,rank05,SL1,0.5735874439461883
sgRNA_102,rank05,SL2,1.2473056994818652
sgRNA_102,rank05,SL3,0.23402061855670106
sgRNA_102,rank05,TL,1.794030612244898
sgRNA_102,rank05,spacer,2.2612057877813507
sgRNA_102,rank06,SL1,0.5735874439461883
sgRNA_102,rank06,SL2,1.2473056994818652
sgRNA_102,rank06,SL3,0.23402061855670106
sgRNA_102,rank06,TL,1.794030612244898
sgRNA_102,rank06,spacer,2.2612057877813507
sgRNA_102,rank07,SL1,0.5735874439461883
sgRNA_102,rank07,SL2,1.2473056994818652
sgRNA_102,rank07,SL3,0.23402061855670106
sgRNA_102,rank07,TL,1.794030612244898
sgRNA_102,rank07,spacer,2.2612057877813507
sgRNA_102,rank08,SL1,0.5735874439461883
sgRNA_102,rank08,SL2,1.2473056994818652
sgRNA_102,rank08,SL3,0.23402061855670106
sgRNA_102,rank08,TL,1.794030612244898
sgRNA_102,rank08,spacer,2.2612057877813507
sgRNA_102,rank09,SL1,0.5735874439461883
sgRNA_102,rank09,SL2,1.2473056994818652
sgRNA_102,rank09,SL3,0.23402061855670106
sgRNA_102,rank09,TL,1.794030612244898
sgRNA_102,rank09,spacer,2.2612057877813507
sgRNA_103,rank01,SL1,2.051659192825112
sgRNA_103,rank01,SL2,1.8195854922279793
sgRNA_103,rank01,SL3,-0.0037113402061855795
sgRNA_103,rank01,TL,1.3556632653061227
sgRNA_103,rank01,spacer,1.9192812499999998
sgRNA_103,rank02,SL1,2.051659192825112
sgRNA_103,rank02,SL2,1.8195854922279793
sgRNA_103,rank02,SL3,-0.0037113402061855795
sgRNA_103,rank02,TL,1.3556632653061227
sgRNA_103,rank02,spacer,1.9192812499999998
sgRNA_103,rank03,SL1,2.051659192825112
sgRNA_103,rank03,SL2,1.8195854922279793
sgRNA_103,rank03,SL3,-0.0037113402061855795
sgRNA_103,rank03,TL,1.3556632653061227
sgRNA_103,rank03,spacer,1.9192812499999998
sgRNA_103,rank04,SL1,2.051659192825112
sgRNA_103,rank04,SL2,1.8195854922279793
sgRNA_103,rank04,SL3,-0.0037113402061855795
sgRNA_103,rank04,TL,1.3556632653061227
sgRNA_103,rank04,spacer,1.9192812499999998
sgRNA_103,rank05,SL1,2.051659192825112
sgRNA_103,rank05,SL2,1.8195854922279793
sgRNA_103,rank05,SL3,-0.0037113402061855795
sgRNA_103,rank05,TL,1.3556632653061227
sgRNA_103,rank05,spacer,1.9192812499999998
sgRNA_103,rank06,SL1,2.051659192825112
sgRNA_103,rank06,SL2,1.8195854922279793
sgRNA_103,rank06,SL3,-0.0037113402061855795
sgRNA_103,rank06,TL,1.3556632653061227
sgRNA_103,rank06,spacer,1.9192812499999998
sgRNA_103,rank07,SL1,2.051659192825112
sgRNA_103,rank07,SL2,1.8195854922279793
sgRNA_103,rank07,SL3,-0.0037113402061855795
sgRNA_103,rank07,TL,1.3556632653061227
sgRNA_103,rank07,spacer,1.9192812499999998
sgRNA_103,rank08,SL1,2.051659192825112
sgRNA_103,rank08,SL2,1.8195854922279793
sgRNA_103,rank08,SL3,-0.0037113402061855795
sgRNA_103,rank08,TL,1.3556632653061227
sgRNA_103,rank08,spacer,1.9192812499999998
sgRNA_103,rank09,SL1,2.051659192825112
sgRNA_103,rank09,SL2,1.8195854922279793
sgRNA_103,rank09,SL3,-0.0037113402061855795
sgRNA_103,rank09,TL,1.3556632653061227
sgRNA_103,rank09,spacer,1.9192812499999998
sgRNA_103,rank10,SL1,2.051659192825112
sgRNA_103,rank10,SL2,1.8195854922279793
sgRNA_103,rank10,SL3,-0.0037113402061855795
sgRNA_103,rank10,TL,1.3556632653061227
sgRNA_103,rank10,spacer,1.9192812499999998
sgRNA_103,rank11,SL1,2.051659192825112
sgRNA_103,rank11,SL2,1.8195854922279793
sgRNA_103,rank11,SL3,-0.0037113402061855795
sgRNA_103,rank11,TL,1.3556632653061227
sgRNA_103,rank11,spacer,1.9192812499999998
sgRNA_104,rank01,SL1,1.9537219730941704
sgRNA_104,rank01,SL2,2.08300518134715
sgRNA_104,rank01,SL3,0.010309278350515464
sgRNA_104,rank01,TL,0.6449489795918367
sgRNA_104,rank01,spacer,1.8413056835637482
sgRNA_104,rank02,SL1,1.9537219730941704
sgRNA_104,rank02,SL2,2.08300518134715
sgRNA_104,rank02,SL3,0.010309278350515464
sgRNA_104,rank02,TL,0.6449489795918367
sgRNA_104,rank02,spacer,1.8413056835637482
sgRNA_104,rank03,SL1,1.9537219730941704
sgRNA_104,rank03,SL2,2.08300518134715
sgRNA_104,rank03,SL3,0.010309278350515464
sgRNA_104,rank03,TL,0.6449489795918367
sgRNA_104,rank03,spacer,1.8413056835637482
sgRNA_104,rank04,SL1,1.9537219730941704
sgRNA_104,rank04,SL2,2.08300518134715
sgRNA_104,rank04,SL3,0.010309278350515464
sgRNA_104,rank04,TL,0.6449489795918367
sgRNA_104,rank04,spacer,1.8413056835637482
sgRNA_104,rank05,SL1,1.9537219730941704
sgRNA_104,rank05,SL2,2.08300518134715
sgRNA_104,rank05,SL3,0.010309278350515464
sgRNA_104,rank05,TL,0.6449489795918367
sgRNA_104,rank05,spacer,1.8413056835637482
sgRNA_104,rank06,SL1,1.9537219730941704
sgRNA_104,rank06,SL2,2.08300518134715
sgRNA_104,rank06,SL3,0.010309278350515464
sgRNA_104,rank06,TL,0.6449489795918367
sgRNA_104,rank06,spacer,1.8413056835637482
sgRNA_104,rank07,SL1,1.9537219730941704
sgRNA_104,rank07,SL2,2.08300518134715
sgRNA_104,rank07,SL3,0.010309278350515464
sgRNA_104,rank07,TL,0.6449489795918367
sgRNA_104,rank07,spacer,1.8413056835637482
sgRNA_105,rank01,SL1,1.8898206278026906
sgRNA_105,rank01,SL2,1.8707772020725388
sgRNA_105,rank01,SL3,0.33999999999999997
sgRNA_105,rank01,TL,0.24474489795918367
sgRNA_105,rank01,spacer,1.5718309859154929
sgRNA_105,rank02,SL1,1.8898206278026906
sgRNA_105,rank02,SL2,1.8707772020725388
sgRNA_105,rank02,SL3,0.33999999999999997
sgRNA_105,rank02,TL,0.24474489795918367
sgRNA_105,rank02,spacer,1.5718309859154929
sgRNA_105,rank03,SL1,1.8898206278026906
sgRNA_105,rank03,SL2,1.8707772020725388
sgRNA_105,rank03,SL3,0.33999999999999997
sgRNA_105,rank03,TL,0.24474489795918367
sgRNA_105,rank03,spacer,1.5718309859154929
sgRNA_105,rank04,SL1,1.8898206278026906
sgRNA_105,rank04,SL2,1.8707772020725388
sgRNA_105,rank04,SL3,0.33999999999999997
sgRNA_105,rank04,TL,0.24474489795918367
sgRNA_105,rank04,spacer,1.5718309859154929
sgRNA_105,rank05,SL1,1.8898206278026906
sgRNA_105,rank05,SL2,1.8707772020725388
sgRNA_105,rank05,SL3,0.33999999999999997
sgRNA_105,rank05,TL,0.24474489795918367
sgRNA_105,rank05,spacer,1.5718309859154929
sgRNA_105,rank06,SL1,1.8898206278026906
sgRNA_105,rank06,SL2,1.8707772020725388
sgRNA_105,rank06,SL3,0.33999999999999997
sgRNA_105,rank06,TL,0.24474489795918367
sgRNA_105,rank06,spacer,1.5718309859154929
sgRNA_105,rank07,SL1,1.8898206278026906
sgRNA_105,rank07,SL2,1.8707772020725388
sgRNA_105,rank07,SL3,0.33999999999999997
sgRNA_105,rank07,TL,0.24474489795918367
sgRNA_105,rank07,spacer,1.5718309859154929
sgRNA_105,rank08,SL1,1.8898206278026906
sgRNA_105,rank08,SL2,1.8707772020725388
sgRNA_105,rank08,SL3,0.33999999999999997
sgRNA_105,rank08,TL,0.24474489795918367
sgRNA_105,rank08,spacer,1.5718309859154929
sgRNA_105,rank09,SL1,1.8898206278026906
sgRNA_105,rank09,SL2,1.8707772020725388
sgRNA_105,rank09,SL3,0.33999999999999997
sgRNA_105,rank09,TL,0.24474489795918367
sgRNA_105,rank09,spacer,1.5718309859154929
sgRNA_105,rank10,SL1,1.8898206278026906
sgRNA_105,rank10,SL2,1.8707772020725388
sgRNA_105,rank10,SL3,0.33999999999999997
sgRNA_105,rank10,TL,0.24474489795918367
sgRNA_105,rank10,spacer,1.5718309859154929
sgRNA_105,rank11,SL1,1.8898206278026906
sgRNA_105,rank11,SL2,1.8707772020725388
sgRNA_105,rank11,SL3,0.33999999999999997
sgRNA_105,rank11,TL,0.24474489795918367
sgRNA_105,rank11,spacer,1.5718309859154929
sgRNA_106,rank01,SL1,1.4769058295964126
sgRNA_106,rank01,SL2,1.4726943005181348
sgRNA_106,rank01,SL3,1.4180412371134021
sgRNA_106,rank01,TL,2.450408163265306
sgRNA_106,rank01,spacer,2.181390205371248
sgRNA_106,rank02,SL1,1.4769058295964126
sgRNA_106,rank02,SL2,1.4726943005181348
sgRNA_106,rank02,SL3,1.4180412371134021
sgRNA_106,rank02,TL,2.450408163265306
sgRNA_106,rank02,spacer,2.181390205371248
sgRNA_106,rank03,SL1,1.4769058295964126
sgRNA_106,rank03,SL2,1.4726943005181348
sgRNA_106,rank03,SL3,1.4180412371134021
sgRNA_106,rank03,TL,2.450408163265306
sgRNA_106,rank03,spacer,2.181390205371248
sgRNA_106,rank04,SL1,1.4769058295964126
sgRNA_106,rank04,SL2,1.4726943005181348
sgRNA_106,rank04,SL3,1.4180412371134021
sgRNA_106,rank04,TL,2.450408163265306
sgRNA_106,rank04,spacer,2.181390205371248
sgRNA_106,rank05,SL1,1.4769058295964126
sgRNA_106,rank05,SL2,1.4726943005181348
sgRNA_106,rank05,SL3,1.4180412371134021
sgRNA_106,rank05,TL,2.450408163265306
sgRNA_106,rank05,spacer,2.181390205371248
sgRNA_106,rank06,SL1,1.4769058295964126
sgRNA_106,rank06,SL2,1.4726943005181348
sgRNA_106,rank06,SL3,1.4180412371134021
sgRNA_106,rank06,TL,2.450408163265306
sgRNA_106,rank06,spacer,2.181390205371248
sgRNA_106,rank07,SL1,1.4769058295964126
sgRNA_106,rank07,SL2,1.4726943005181348
sgRNA_106,rank07,SL3,1.4180412371134021
sgRNA_106,rank07,TL,2.450408163265306
sgRNA_106,rank07,spacer,2.181390205371248
sgRNA_106,rank08,SL1,1.4769058295964126
sgRNA_106,rank08,SL2,1.4726943005181348
sgRNA_106,rank08,SL3,1.4180412371134021
sgRNA_106,rank08,TL,2.450408163265306
sgRNA_106,rank08,spacer,2.181390205371248
sgRNA_106,rank09,SL1,1.4769058295964126
sgRNA_106,rank09,SL2,1.4726943005181348
sgRNA_106,rank09,SL3,1.4180412371134021
sgRNA_106,rank09,TL,2.450408163265306
sgRNA_106,rank09,spacer,2.181390205371248
sgRNA_106,rank10,SL1,1.4769058295964126
sgRNA_106,rank10,SL2,1.4726943005181348
sgRNA_106,rank10,SL3,1.4180412371134021
sgRNA_106,rank10,TL,2.450408163265306
sgRNA_106,rank10,spacer,2.181390205371248
sgRNA_106,rank11,SL1,1.4769058295964126
sgRNA_106,rank11,SL2,1.4726943005181348
sgRNA_106,rank11,SL3,1.4180412371134021
sgRNA_106,rank11,TL,2.450408163265306
sgRNA_106,rank11,spacer,2.181390205371248
sgRNA_106,rank12,SL1,1.4769058295964126
sgRNA_106,rank12,SL2,1.4726943005181348
sgRNA_106,rank12,SL3,1.4180412371134021
sgRNA_106,rank12,TL,2.450408163265306
sgRNA_106,rank12,spacer,2.181390205371248
sgRNA_106,rank13,SL1,1.4769058295964126
sgRNA_106,rank13,SL2,1.4726943005181348
sgRNA_106,rank13,SL3,1.4180412371134021
sgRNA_106,rank13,TL,2.450408163265306
sgRNA_106,rank13,spacer,2.181390205371248
sgRNA_107,rank01,SL1,1.2286547085201793
sgRNA_107,rank01,SL2,1.346476683937824
sgRNA_107,rank01,SL3,0.6154639175257732
sgRNA_107,rank01,TL,1.2530612244897958
sgRNA_107,rank01,spacer,1.2149361022364218
sgRNA_107,rank02,SL1,1.2286547085201793
sgRNA_107,rank02,SL2,1.346476683937824
sgRNA_107,rank02,SL3,0.6154639175257732
sgRNA_107,rank02,TL,1.2530612244897958
sgRNA_107,rank02,spacer,1.2149361022364218
sgRNA_107,rank03,SL1,1.2286547085201793
sgRNA_107,rank03,SL2,1.346476683937824
sgRNA_107,rank03,SL3,0.6154639175257732
sgRNA_107,rank03,TL,1.2530612244897958
sgRNA_107,rank03,spacer,1.2149361022364218
sgRNA_107,rank04,SL1,1.2286547085201793
sgRNA_107,rank04,SL2,1.346476683937824
sgRNA_107,rank04,SL3,0.6154639175257732
sgRNA_107,rank04,TL,1.2530612244897958
sgRNA_107,rank04,spacer,1.2149361022364218
sgRNA_107,rank05,SL1,1.2286547085201793
sgRNA_107,rank05,SL2,1.346476683937824
sgRNA_107,rank05,SL3,0.6154639175257732
sgRNA_107,rank05,TL,1.2530612244897958
sgRNA_107,rank05,spacer,1.2149361022364218
sgRNA_107,rank06,SL1,1.2286547085201793
sgRNA_107,rank06,SL2,1.346476683937824
sgRNA_107,rank06,SL3,0.6154639175257732
sgRNA_107,rank06,TL,1.2530612244897958
sgRNA_107,rank06,spacer,1.2149361022364218
sgRNA_107,rank07,SL1,1.2286547085201793
sgRNA_107,rank07,SL2,1.346476683937824
sgRNA_107,rank07,SL3,0.6154639175257732
sgRNA_107,rank07,TL,1.2530612244897958
sgRNA_107,rank07,spacer,1.2149361022364218
sgRNA_107,rank08,SL1,1.2286547085201793
sgRNA_107,rank08,SL2,1.346476683937824
sgRNA_107,rank08,SL3,0.6154639175257732
sgRNA_107,rank08,TL,1.2530612244897958
sgRNA_107,rank08,spacer,1.2149361022364218
sgRNA_108,rank01,SL1,1.436322869955157
sgRNA_108,rank01,SL2,1.1776683937823833
sgRNA_108,rank01,SL3,-0.6597938144329897
sgRNA_108,rank01,TL,2.4131632653061224
sgRNA_108,rank01,spacer,2.1872380952380954
sgRNA_108,rank02,SL1,1.436322869955157
sgRNA_108,rank02,SL2,1.1776683937823833
sgRNA_108,rank02,SL3,-0.6597938144329897
sgRNA_108,rank02,TL,2.4131632653061224
sgRNA_108,rank02,spacer,2.1872380952380954
sgRNA_108,rank03,SL1,1.436322869955157
sgRNA_108,rank03,SL2,1.1776683937823833
sgRNA_108,rank03,SL3,-0.6597938144329897
sgRNA_108,rank03,TL,2.4131632653061224
sgRNA_108,rank03,spacer,2.1872380952380954
sgRNA_108,rank04,SL1,1.436322869955157
sgRNA_108,rank04,SL2,1.1776683937823833
sgRNA_108,rank04,SL3,-0.6597938144329897
sgRNA_108,rank04,TL,2.4131632653061224
sgRNA_108,rank04,spacer,2.1872380952380954
sgRNA_108,rank05,SL1,1.436322869955157
sgRNA_108,rank05,SL2,1.1776683937823833
sgRNA_108,rank05,SL3,-0.6597938144329897
sgRNA_108,rank05,TL,2.4131632653061224
sgRNA_108,rank05,spacer,2.1872380952380954
sgRNA_108,rank06,SL1,1.436322869955157
sgRNA_108,rank06,SL2,1.1776683937823833
sgRNA_108,rank06,SL3,-0.6597938144329897
sgRNA_108,rank06,TL,2.4131632653061224
sgRNA_108,rank06,spacer,2.1872380952380954
sgRNA_108,rank07,SL1,1.436322869955157
sgRNA_108,rank07,SL2,1.1776683937823833
sgRNA_108,rank07,SL3,-0.6597938144329897
sgRNA_108,rank07,TL,2.4131632653061224
sgRNA_108,rank07,spacer,2.1872380952380954
sgRNA_108,rank08,SL1,1.436322869955157
sgRNA_108,rank08,SL2,1.1776683937823833
sgRNA_108,rank08,SL3,-0.6597938144329897
sgRNA_108,rank08,TL,2.4131632653061224
sgRNA_108,rank08,spacer,2.1872380952380954
sgRNA_108,rank09,SL1,1.436322869955157
sgRNA_108,rank09,SL2,1.1776683937823833
sgRNA_108,rank09,SL3,-0.6597938144329897
sgRNA_108,rank09,TL,2.4131632653061224
sgRNA_108,rank09,spacer,2.1872380952380954
sgRNA_108,rank10,SL1,1.436322869955157
sgRNA_108,rank10,SL2,1.1776683937823833
sgRNA_108,rank10,SL3,-0.6597938144329897
sgRNA_108,rank10,TL,2.4131632653061224
sgRNA_108,rank10,spacer,2.1872380952380954
sgRNA_108,rank11,SL1,1.436322869955157
sgRNA_108,rank11,SL2,1.1776683937823833
sgRNA_108,rank11,SL3,-0.6597938144329897
sgRNA_108,rank11,TL,2.4131632653061224
sgRNA_108,rank11,spacer,2.1872380952380954
sgRNA_109,rank01,SL1,1.1106726457399103
sgRNA_109,rank01,SL2,1.418082901554404
sgRNA_109,rank01,SL3,0.13814432989690723
sgRNA_109,rank01,TL,0.15551020408163263
sgRNA_109,rank01,spacer,1.4568954758190327
sgRNA_109,rank02,SL1,1.1106726457399103
sgRNA_109,rank02,SL2,1.418082901554404
sgRNA_109,rank02,SL3,0.13814432989690723
sgRNA_109,rank02,TL,0.15551020408163263
sgRNA_109,rank02,spacer,1.4568954758190327
sgRNA_109,rank03,SL1,1.1106726457399103
sgRNA_109,rank03,SL2,1.418082901554404
sgRNA_109,rank03,SL3,0.13814432989690723
sgRNA_109,rank03,TL,0.15551020408163263
sgRNA_109,rank03,spacer,1.4568954758190327
sgRNA_109,rank04,SL1,1.1106726457399103
sgRNA_109,rank04,SL2,1.418082901554404
sgRNA_109,rank04,SL3,0.13814432989690723
sgRNA_109,rank04,TL,0.15551020408163263
sgRNA_109,rank04,spacer,1.4568954758190327
sgRNA_109,rank05,SL1,1.1106726457399103
sgRNA_109,rank05,SL2,1.418082901554404
sgRNA_109,rank05,SL3,0.13814432989690723
sgRNA_109,rank05,TL,0.15551020408163263
sgRNA_109,rank05,spacer,1.4568954758190327
sgRNA_109,rank06,SL1,1.1106726457399103
sgRNA_109,rank06,SL2,1.418082901554404
sgRNA_109,rank06,SL3,0.13814432989690723
sgRNA_109,rank06,TL,0.15551020408163263
sgRNA_109,rank06,spacer,1.4568954758190327
sgRNA_109,rank07,SL1,1.1106726457399103
sgRNA_109,rank07,SL2,1.418082901554404
sgRNA_109,rank07,SL3,0.13814432989690723
sgRNA_109,rank07,TL,0.15551020408163263
sgRNA_109,rank07,spacer,1.4568954758190327
sgRNA_11,rank01,SL1,1.6980269058295965
sgRNA_11,rank01,SL2,2.023937823834197
